_ - _ - recipe_id,_ - _ - ingredients - _ - ing_id,_ - _ - ingredients - _ - ing_name,cat
186685,4342,garlic,spice
186685,6307,olive oil,condiment
23624,6307,olive oil,condiment
23624,4343,fresh ginger root,spice
23624,4342,garlic,spice
23624,1636,cornstarch,plantproduct
23624,2882,soy sauce,condiment
23624,18868,rice vinegar,condiment
23624,20244,red pepper flakes,spice
23624,3717,fresh cilantro,spice
27205,4279,carrot,plant
27205,4432,red bell pepper,plant
27205,4786,red bell pepper,plant
27205,3717,fresh cilantro,spice
27205,4405,green onion,spice
27205,2940,peanuts,grain
27205,2858,peanut butter,grain
27205,18868,rice vinegar,condiment
27205,2882,soy sauce,condiment
27205,6309,sesame oil,condiment
27205,1525,brown sugar,condiment
27205,16396,garlic powder,spice
27205,16406,ground black pepper,spice
54923,16133,chicken broth,animal
54923,2882,soy sauce,condiment
54923,1636,cornstarch,plantproduct
54923,6420,canola oil,condiment
54923,4292,celery,plant
54923,4378,fresh mushroom,plant
54923,4786,red bell pepper,plant
54923,4397,onion,plant
54923,20194,bean sprouts,plant
54923,4412,snow pea,plant
236776,4442,potato,plant
236776,4279,carrot,plant
236776,4397,onion,plant
236776,6420,canola oil,condiment
236776,1525,brown sugar,condiment
223389,1636,cornstarch,plantproduct
223389,1526,white sugar,condiment
223389,2882,soy sauce,condiment
223389,4343,fresh ginger root,spice
223389,6305,vegetable oil,condiment
223389,4252,broccoli,plant
223389,4279,carrot,plant
223389,4397,onion,plant
223389,4607,water chestnut,plant
223389,4273,bok choy,plant
223389,6305,vegetable oil,condiment
28011,16391,curry powder,spice
28011,20244,red pepper flakes,spice
28011,16397,ground ginger,spice
28011,16404,paprika,spice
28011,16386,ground cinnamon,spice
28011,16418,ground turmeric,spice
28011,6494,chicken breast,animal
22612,4342,garlic,spice
22612,4405,green onion,spice
22612,2355,wonton wrapper,grain
22612,20482,frying oil,condiment
15493,1636,cornstarch,plantproduct
15493,7842,white vinegar,condiment
15493,6379,vegetable oil,condiment
15493,3686,ketchup,condiment
15493,1525,brown sugar,condiment
220149,16390,cumin seed,spice
220149,6494,chicken breast,animal
220149,6305,vegetable oil,condiment
220149,4397,onion,plant
220149,4279,carrot,plant
220149,4342,garlic,spice
220149,4343,fresh ginger root,spice
220149,20244,red pepper flakes,spice
220149,1502,honey,animal
220149,20551,ground cumin,spice
220149,16386,ground cinnamon,spice
220149,16391,curry powder,spice
220149,3795,coconut milk,plantproduct
8859,6494,chicken breast,animal
8859,6379,vegetable oil,condiment
8859,4397,onion,plant
8859,4252,broccoli,plant
8859,4279,carrot,plant
8859,4412,snow pea,plant
44445,4397,onion,plant
44445,4342,garlic,spice
44445,20473,garam masala,spice
105046,5107,lemon juice,plantproduct
105046,18860,fresh mint,plant
105046,1526,white sugar,condiment
20494,4405,green onion,spice
20494,4279,carrot,plant
20494,4786,red bell pepper,plant
20494,3717,fresh cilantro,spice
20494,1526,white sugar,condiment
20494,7842,white vinegar,condiment
20494,6309,sesame oil,condiment
11690,1728,rice noodles,grain
11690,6494,chicken breast,animal
11690,2882,soy sauce,condiment
11690,4432,red bell pepper,plant
11690,4786,red bell pepper,plant
11690,4335,cucumber,plant
11690,4279,carrot,plant
11690,4378,fresh mushroom,plant
11690,4397,onion,plant
11690,4342,garlic,spice
11690,4343,fresh ginger root,spice
11690,5596,oyster sauce,condiment
11690,6309,sesame oil,condiment
11690,3752,sesame seed,grain
221069,1525,brown sugar,condiment
221069,18868,rice vinegar,condiment
221069,5597,fish sauce,condiment
221069,2882,soy sauce,condiment
221069,4343,fresh ginger root,spice
221069,20244,red pepper flakes,spice
221069,4405,green onion,spice
221069,3725,jalapeno pepper,plant
221069,4786,red bell pepper,plant
221069,4342,garlic,spice
221069,3717,fresh cilantro,spice
231381,6309,sesame oil,condiment
231381,6304,peanut oil,condiment
231381,4342,garlic,spice
231381,4343,fresh ginger root,spice
231381,2958,light soy sauce,condiment
231381,1525,brown sugar,condiment
231381,5596,oyster sauce,condiment
231381,20287,chile paste,condiment
228917,6305,vegetable oil,condiment
228917,4378,fresh mushroom,plant
228917,1651,white rice,grain
228917,6305,vegetable oil,condiment
228917,4342,garlic,spice
228917,4343,fresh ginger root,spice
228917,4292,celery,plant
228917,4397,onion,plant
228917,4279,carrot,plant
228917,4786,red bell pepper,plant
228917,2882,soy sauce,condiment
228917,4405,green onion,spice
238844,4397,onion,plant
238844,4342,garlic,spice
238844,16406,ground black pepper,spice
238844,1636,cornstarch,plantproduct
238844,1526,white sugar,condiment
238844,16406,ground black pepper,spice
238844,20482,frying oil,condiment
20080,1502,honey,animal
20080,2882,soy sauce,condiment
38046,2882,soy sauce,condiment
38046,6307,olive oil,condiment
