url - loc,cat_id,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
https://www.allrecipes.com/recipes/1797/world-cuisine/european/italian/main-dishes/seafood/,1797,world-cuisine,european,italian,main-dishes,seafood,
https://www.allrecipes.com/recipes/1798/world-cuisine/european/italian/bread/,1798,world-cuisine,european,italian,bread,,
https://www.allrecipes.com/recipes/1800/world-cuisine/european/italian/salads/,1800,world-cuisine,european,italian,salads,,
https://www.allrecipes.com/recipes/1824/world-cuisine/middle-eastern/lebanese/,1824,world-cuisine,middle-eastern,lebanese,,,
https://www.allrecipes.com/recipes/1825/world-cuisine/middle-eastern/turkish/,1825,world-cuisine,middle-eastern,turkish,,,
https://www.allrecipes.com/recipes/1826/world-cuisine/middle-eastern/israeli/,1826,world-cuisine,middle-eastern,israeli,,,
https://www.allrecipes.com/recipes/1827/world-cuisine/african/north-african/moroccan/,1827,world-cuisine,african,north-african,moroccan,,
https://www.allrecipes.com/recipes/1828/world-cuisine/european/french/desserts/,1828,world-cuisine,european,french,desserts,,
https://www.allrecipes.com/recipes/1829/world-cuisine/european/french/soups-and-stews/,1829,world-cuisine,european,french,soups-and-stews,,
https://www.allrecipes.com/recipes/1848/world-cuisine/european/french/appetizers/,1848,world-cuisine,european,french,appetizers,,
https://www.allrecipes.com/recipes/1857/world-cuisine/european/french/main-dishes/pork/,1857,world-cuisine,european,french,main-dishes,pork,
https://www.allrecipes.com/recipes/1858/world-cuisine/european/french/main-dishes/chicken/,1858,world-cuisine,european,french,main-dishes,chicken,
https://www.allrecipes.com/recipes/1873/world-cuisine/asian/indian/main-dishes/curry/,1873,world-cuisine,asian,indian,main-dishes,curry,
https://www.allrecipes.com/recipes/1874/world-cuisine/asian/indian/appetizers/,1874,world-cuisine,asian,indian,appetizers,,
https://www.allrecipes.com/recipes/1875/world-cuisine/asian/indian/main-dishes/vegetarian/,1875,world-cuisine,asian,indian,main-dishes,vegetarian,
https://www.allrecipes.com/recipes/1876/world-cuisine/asian/indian/bread/,1876,world-cuisine,asian,indian,bread,,
https://www.allrecipes.com/recipes/1877/world-cuisine/asian/indian/side-dishes/,1877,world-cuisine,asian,indian,side-dishes,,
https://www.allrecipes.com/recipes/1878/world-cuisine/asian/indian/main-dishes/chicken/,1878,world-cuisine,asian,indian,main-dishes,chicken,
https://www.allrecipes.com/recipes/1879/world-cuisine/asian/indian/desserts/,1879,world-cuisine,asian,indian,desserts,,
https://www.allrecipes.com/recipes/1885/world-cuisine/european/greek/appetizers/,1885,world-cuisine,european,greek,appetizers,,
https://www.allrecipes.com/recipes/1886/world-cuisine/european/greek/side-dishes/,1886,world-cuisine,european,greek,side-dishes,,
https://www.allrecipes.com/recipes/1887/world-cuisine/european/greek/salads/,1887,world-cuisine,european,greek,salads,,
https://www.allrecipes.com/recipes/1888/world-cuisine/european/greek/desserts/,1888,world-cuisine,european,greek,desserts,,
https://www.allrecipes.com/recipes/1889/world-cuisine/european/greek/main-dishes/beef/,1889,world-cuisine,european,greek,main-dishes,beef,
https://www.allrecipes.com/recipes/1890/world-cuisine/european/scandinavian/swedish/,1890,world-cuisine,european,scandinavian,swedish,,
https://www.allrecipes.com/recipes/1891/world-cuisine/european/scandinavian/norwegian/,1891,world-cuisine,european,scandinavian,norwegian,,
https://www.allrecipes.com/recipes/1892/world-cuisine/european/scandinavian/danish/,1892,world-cuisine,european,scandinavian,danish,,
https://www.allrecipes.com/recipes/1893/world-cuisine/european/scandinavian/finnish/,1893,world-cuisine,european,scandinavian,finnish,,
https://www.allrecipes.com/recipes/1894/world-cuisine/asian/thai/appetizers/,1894,world-cuisine,asian,thai,appetizers,,
https://www.allrecipes.com/recipes/1895/world-cuisine/asian/thai/main-dishes/pork/,1895,world-cuisine,asian,thai,main-dishes,pork,
https://www.allrecipes.com/recipes/1896/world-cuisine/asian/thai/main-dishes/chicken/,1896,world-cuisine,asian,thai,main-dishes,chicken,
https://www.allrecipes.com/recipes/1897/world-cuisine/asian/thai/main-dishes/seafood/,1897,world-cuisine,asian,thai,main-dishes,seafood,
https://www.allrecipes.com/recipes/1898/world-cuisine/asian/thai/soups-and-stews/,1898,world-cuisine,asian,thai,soups-and-stews,,
https://www.allrecipes.com/recipes/1899/world-cuisine/asian/chinese/appetizers/,1899,world-cuisine,asian,chinese,appetizers,,
https://www.allrecipes.com/recipes/1900/world-cuisine/asian/chinese/soups-and-stews/,1900,world-cuisine,asian,chinese,soups-and-stews,,
https://www.allrecipes.com/recipes/1901/world-cuisine/asian/chinese/main-dishes/pork/,1901,world-cuisine,asian,chinese,main-dishes,pork,
https://www.allrecipes.com/recipes/1902/world-cuisine/asian/chinese/main-dishes/chicken/,1902,world-cuisine,asian,chinese,main-dishes,chicken,
https://www.allrecipes.com/recipes/1903/world-cuisine/asian/chinese/main-dishes/seafood/,1903,world-cuisine,asian,chinese,main-dishes,seafood,
https://www.allrecipes.com/recipes/1905/world-cuisine/latin-american/mexican/main-dishes/quesadillas/,1905,world-cuisine,latin-american,mexican,main-dishes,quesadillas,
https://www.allrecipes.com/recipes/1906/world-cuisine/latin-american/mexican/appetizers/beef/,1906,world-cuisine,latin-american,mexican,appetizers,beef,
https://www.allrecipes.com/recipes/1908/world-cuisine/latin-american/mexican/appetizers/chicken/,1908,world-cuisine,latin-american,mexican,appetizers,chicken,
https://www.allrecipes.com/recipes/2432/world-cuisine/latin-american/south-american/argentinian/,2432,world-cuisine,latin-american,south-american,argentinian,,
https://www.allrecipes.com/recipes/2433/world-cuisine/latin-american/south-american/peruvian/,2433,world-cuisine,latin-american,south-american,peruvian,,
https://www.allrecipes.com/recipes/14759/world-cuisine/latin-american/south-american/colombian/,14759,world-cuisine,latin-american,south-american,colombian,,
